--- AVAILABLE MODELS ---
NAME: models/gemini-2.5-flash | DISPLAY: Gemini 2.5 Flash
NAME: models/gemini-2.5-pro | DISPLAY: Gemini 2.5 Pro
NAME: models/gemini-2.0-flash-exp | DISPLAY: Gemini 2.0 Flash Experimental
NAME: models/gemini-2.0-flash | DISPLAY: Gemini 2.0 Flash
NAME: models/gemini-2.0-flash-001 | DISPLAY: Gemini 2.0 Flash 001
NAME: models/gemini-2.0-flash-exp-image-generation | DISPLAY: Gemini 2.0 Flash (Image Generation) Experimental
NAME: models/gemini-2.0-flash-lite-001 | DISPLAY: Gemini 2.0 Flash-Lite 001
NAME: models/gemini-2.0-flash-lite | DISPLAY: Gemini 2.0 Flash-Lite
NAME: models/gemini-2.0-flash-lite-preview-02-05 | DISPLAY: Gemini 2.0 Flash-Lite Preview 02-05
NAME: models/gemini-2.0-flash-lite-preview | DISPLAY: Gemini 2.0 Flash-Lite Preview
NAME: models/gemini-exp-1206 | DISPLAY: Gemini Experimental 1206
NAME: models/gemini-2.5-flash-preview-tts | DISPLAY: Gemini 2.5 Flash Preview TTS
NAME: models/gemini-2.5-pro-preview-tts | DISPLAY: Gemini 2.5 Pro Preview TTS
NAME: models/gemma-3-1b-it | DISPLAY: Gemma 3 1B
NAME: models/gemma-3-4b-it | DISPLAY: Gemma 3 4B
NAME: models/gemma-3-12b-it | DISPLAY: Gemma 3 12B
NAME: models/gemma-3-27b-it | DISPLAY: Gemma 3 27B
NAME: models/gemma-3n-e4b-it | DISPLAY: Gemma 3n E4B
NAME: models/gemma-3n-e2b-it | DISPLAY: Gemma 3n E2B
NAME: models/gemini-flash-latest | DISPLAY: Gemini Flash Latest
NAME: models/gemini-flash-lite-latest | DISPLAY: Gemini Flash-Lite Latest
NAME: models/gemini-pro-latest | DISPLAY: Gemini Pro Latest
NAME: models/gemini-2.5-flash-lite | DISPLAY: Gemini 2.5 Flash-Lite
NAME: models/gemini-2.5-flash-image-preview | DISPLAY: Nano Banana
NAME: models/gemini-2.5-flash-image | DISPLAY: Nano Banana
NAME: models/gemini-2.5-flash-preview-09-2025 | DISPLAY: Gemini 2.5 Flash Preview Sep 2025
NAME: models/gemini-2.5-flash-lite-preview-09-2025 | DISPLAY: Gemini 2.5 Flash-Lite Preview Sep 2025
NAME: models/gemini-3-pro-preview | DISPLAY: Gemini 3 Pro Preview
NAME: models/gemini-3-pro-image-preview | DISPLAY: Nano Banana Pro
NAME: models/nano-banana-pro-preview | DISPLAY: Nano Banana Pro
NAME: models/gemini-robotics-er-1.5-preview | DISPLAY: Gemini Robotics-ER 1.5 Preview
NAME: models/gemini-2.5-computer-use-preview-10-2025 | DISPLAY: Gemini 2.5 Computer Use Preview 10-2025
--- END ---
